SPCD,common_name,taxon_name,species_name
103,knobcone pine,Pinus attenuata,Pinus attenuata
104,foxtail pine,Pinus balfouriana,Pinus balfouriana
105,jack pine,Pinus banksiana,Pinus banksiana
140,Mexican pinyon pine,Pinus cembroides,Pinus cembroides
107,sand pine,Pinus clausa,Pinus clausa
108,lodgepole pine,Pinus contorta,Pinus contorta
109,Coulter pine,Pinus coulteri,Pinus coulteri
134,border pinyon,Pinus discolor,Pinus discolor
110,shortleaf pine,Pinus echinata,Pinus echinata
106,common or two-needle pinyon,Pinus edulis,Pinus edulis
111,slash pine,Pinus elliottii,Pinus elliottii
144,Honduras pine,Pinus elliottii var. elliottii,Pinus elliottii
112,Apache pine,Pinus engelmannii,Pinus engelmannii
113,limber pine,Pinus flexilis,Pinus flexilis
115,spruce pine,Pinus glabra,Pinus glabra
116,Jeffrey pine,Pinus jeffreyi,Pinus jeffreyi
117,sugar pine,Pinus lambertiana,Pinus lambertiana
118,Chihuahuan pine,Pinus leiophylla,Pinus leiophylla
142,Great Basin bristlecone pine,Pinus longaeva,Pinus longaeva
133,singleleaf pinyon,Pinus monophylla,Pinus monophylla
143,Arizona pinyon pine,Pinus monophylla var. fallax,Pinus monophylla
119,western white pine,Pinus monticola,Pinus monticola
120,bishop pine,Pinus muricata,Pinus muricata
136,Austrian pine,Pinus nigra,Pinus nigra
121,longleaf pine,Pinus palustris,Pinus palustris
122,ponderosa pine,Pinus ponderosa,Pinus ponderosa
123,Table Mountain pine,Pinus pungens,Pinus pungens
138,four-leaf or Parry pinyon pine,Pinus quadrifolia,Pinus quadrifolia
124,Monterey pine,Pinus radiata,Pinus radiata
141,papershell pinyon pine,Pinus remota,Pinus remota
125,red pine,Pinus resinosa,Pinus resinosa
126,pitch pine,Pinus rigida,Pinus rigida
127,gray or California foothill pine,Pinus sabiniana,Pinus sabiniana
128,pond pine,Pinus serotina,Pinus serotina
100,pine spp.,Pinus spp.,Pinus spp.
114,southwestern white pine,Pinus strobiformis,Pinus strobiformis
129,eastern white pine,Pinus strobus,Pinus strobus
130,Scotch pine,Pinus sylvestris,Pinus sylvestris
131,loblolly pine,Pinus taeda,Pinus taeda
139,Torrey pine,Pinus torreyana,Pinus torreyana
132,Virginia pine,Pinus virginiana,Pinus virginiana
137,Washoe pine,Pinus washoensis,Pinus washoensis
887,fishpoison tree,Piscidia piscipula,Piscidia piscipula
722,"water-elm, planertree",Planera aquatica,Planera aquatica
731,American sycamore,Platanus occidentalis,Platanus occidentalis
730,California sycamore,Platanus racemosa,Platanus racemosa
729,sycamore spp.,Platanus spp.,Platanus spp.
732,Arizona sycamore,Platanus wrightii,Platanus wrightii
752,silver poplar,Populus alba,Populus alba
749,narrowleaf cottonwood,Populus angustifolia,Populus angustifolia
741,balsam poplar,Populus balsamifera,Populus balsamifera
747,black cottonwood,Populus balsamifera ssp. trichocarpa,Populus balsamifera
742,eastern cottonwood,Populus deltoides,Populus deltoides
745,plains cottonwood,Populus deltoides ssp. monilifera,Populus deltoides
748,Fremont cottonwood,Populus fremontii,Populus fremontii
743,bigtooth aspen,Populus grandidentata,Populus grandidentata
744,swamp cottonwood,Populus heterophylla,Populus heterophylla
753,Lombardy poplar,Populus nigra,Populus nigra
740,cottonwood and poplar spp.,Populus spp.,Populus spp.
746,quaking aspen,Populus tremuloides,Populus tremuloides
756,honey mesquite,Prosopis glandulosa,Prosopis glandulosa
758,screwbean mesquite,Prosopis pubescens,Prosopis pubescens
755,mesquite spp.,Prosopis spp.,Prosopis spp.
757,velvet mesquite,Prosopis velutina,Prosopis velutina
769,Allegheny plum,Prunus alleghaniensis,Prunus alleghaniensis
766,American plum,Prunus americana,Prunus americana
770,Chickasaw plum,Prunus angustifolia,Prunus angustifolia
771,"sweet cherry, domesticated",Prunus avium,Prunus avium
772,"sour cherry, domesticated",Prunus cerasus,Prunus cerasus
773,"European plum, domesticated",Prunus domestica,Prunus domestica
768,bitter cherry,Prunus emarginata,Prunus emarginata
774,"Mahaleb cherry, domesticated",Prunus mahaleb,Prunus mahaleb
765,Canada plum,Prunus nigra,Prunus nigra
761,pin cherry,Prunus pensylvanica,Prunus pensylvanica
764,peach,Prunus persica,Prunus persica
762,black cherry,Prunus serotina,Prunus serotina
760,cherry and plum spp.,Prunus spp.,Prunus spp.
763,chokecherry,Prunus virginiana,Prunus virginiana
201,bigcone Douglas-fir,Pseudotsuga macrocarpa,Pseudotsuga macrocarpa
202,Douglas-fir,Pseudotsuga menziesii,Pseudotsuga menziesii
200,Douglas-fir spp.,Pseudotsuga spp.,Pseudotsuga spp.
801,California live oak,Quercus agrifolia,Quercus agrifolia
802,white oak,Quercus alba,Quercus alba
803,Arizona white oak,Quercus arizonica,Quercus arizonica
804,swamp white oak,Quercus bicolor,Quercus bicolor
8513,Buckley oak,Quercus buckleyi,Quercus buckleyi
805,canyon live oak,Quercus chrysolepis,Quercus chrysolepis
806,scarlet oak,Quercus coccinea,Quercus coccinea
807,blue oak,Quercus douglasii,Quercus douglasii
809,northern pin oak,Quercus ellipsoidalis,Quercus ellipsoidalis
810,Emory oak,Quercus emoryi,Quercus emoryi
811,Engelmann oak,Quercus engelmannii,Quercus engelmannii
812,southern red oak,Quercus falcata,Quercus falcata
814,Gambel oak,Quercus gambelii,Quercus gambelii
815,Oregon white oak,Quercus garryana,Quercus garryana
851,Chisos oak,Quercus graciliformis,Quercus graciliformis
8511,Graves oak,Quercus gravesii,Quercus gravesii
846,gray oak,Quercus grisea,Quercus grisea
843,silverleaf oak,Quercus hypoleucoides,Quercus hypoleucoides
816,scrub oak,Quercus ilicifolia,Quercus ilicifolia
817,shingle oak,Quercus imbricaria,Quercus imbricaria
842,bluejack oak,Quercus incana,Quercus incana
818,California black oak,Quercus kelloggii,Quercus kelloggii
8514,Lacey oak,Quercus laceyi,Quercus laceyi
819,turkey oak,Quercus laevis,Quercus laevis
820,laurel oak,Quercus laurifolia,Quercus laurifolia
821,California white oak,Quercus lobata,Quercus lobata
822,overcup oak,Quercus lyrata,Quercus lyrata
823,bur oak,Quercus macrocarpa,Quercus macrocarpa
840,dwarf post oak,Quercus margarettiae,Quercus margarettiae
824,blackjack oak,Quercus marilandica,Quercus marilandica
825,swamp chestnut oak,Quercus michauxii,Quercus michauxii
841,dwarf live oak,Quercus minima,Quercus minima
826,chinkapin oak,Quercus muehlenbergii,Quercus muehlenbergii
827,water oak,Quercus nigra,Quercus nigra
829,Mexican blue oak,Quercus oblongifolia,Quercus oblongifolia
844,Oglethorpe oak,Quercus oglethorpensis,Quercus oglethorpensis
813,cherrybark oak,Quercus pagoda,Quercus pagoda
830,pin oak,Quercus palustris,Quercus palustris
831,willow oak,Quercus phellos,Quercus phellos
8512,Mexican white oak,Quercus polymorpha,Quercus polymorpha
845,dwarf chinkapin oak,Quercus prinoides,Quercus prinoides
832,chestnut oak,Quercus prinus,Quercus prinus
833,northern red oak,Quercus rubra,Quercus rubra
847,netleaf oak,Quercus rugosa,Quercus rugosa
834,Shumard oak,Quercus shumardii,Quercus shumardii
836,Delta post oak,Quercus similis,Quercus similis
808,Durand oak,Quercus sinuata var. sinuata,Quercus sinuata
800,oak spp.,Quercus spp.,Quercus spp.
835,post oak,Quercus stellata,Quercus stellata
828,Texas red oak,Quercus texana,Quercus texana
837,black oak,Quercus velutina,Quercus velutina
838,live oak,Quercus virginiana,Quercus virginiana
839,interior live oak,Quercus wislizeni,Quercus wislizeni
989,American mangrove,Rhizophora mangle,Rhizophora mangle
902,New Mexico locust,Robinia neomexicana,Robinia neomexicana
901,black locust,Robinia pseudoacacia,Robinia pseudoacacia
909,royal palm spp.,Roystonea spp.,Roystonea spp.
911,Mexican palmetto,Sabal mexicana,Sabal mexicana
912,cabbage palmetto,Sabal palmetto,Sabal palmetto
927,white willow,Salix alba,Salix alba
921,peachleaf willow,Salix amygdaloides,Salix amygdaloides
923,Bebb willow,Salix bebbiana,Salix bebbiana
924,Bonpland willow,Salix bonplandiana,Salix bonplandiana
925,coastal plain willow,Salix caroliniana,Salix caroliniana
922,black willow,Salix nigra,Salix nigra
926,balsam willow,Salix pyrifolia,Salix pyrifolia
928,Scouler's willow,Salix scouleriana,Salix scouleriana
929,weeping willow,Salix sepulcralis,Salix sepulcralis
920,willow spp.,Salix spp.,Salix spp.
919,western soapberry,Sapindus saponaria var. drummondii,Sapindus saponaria
931,sassafras,Sassafras albidum,Sassafras albidum
888,"octopus tree, schefflera",Schefflera actinophylla,Schefflera actinophylla
211,redwood,Sequoia sempervirens,Sequoia sempervirens
212,giant sequoia,Sequoiadendron  giganteum,Sequoiadendron giganteum
890,false mastic,Sideroxylon foetidissimum,Sideroxylon foetidissimum
381,"chittamwood, gum bumelia",Sideroxylon lanuginosum ssp. lanuginosum,Sideroxylon lanuginosum
891,"white bully, willow bustic",Sideroxylon salicifolium,Sideroxylon salicifolium
895,paradisetree,Simarouba glauca,Simarouba glauca
870,Texas sophora,Sophora affinis,Sophora affinis
935,American mountain-ash,Sorbus americana,Sorbus americana
936,European mountain-ash,Sorbus aucuparia,Sorbus aucuparia
937,northern mountain-ash,Sorbus decora,Sorbus decora
934,mountain-ash spp.,Sorbus spp.,Sorbus spp.
940,West Indian mahogany,Swietenia mahagoni,Swietenia mahagoni
896,Java plum,Syzygium cumini,Syzygium cumini
897,tamarind,Tamarindus indica,Tamarindus indica
991,saltcedar,Tamarix spp.,Tamarix spp.
222,pondcypress,Taxodium ascendens,Taxodium ascendens
221,baldcypress,Taxodium distichum,Taxodium distichum
223,Montezuma baldcypress,Taxodium mucronatum,Taxodium mucronatum
220,baldcypress spp.,Taxodium spp.,Taxodium spp.
231,Pacific yew,Taxus brevifolia,Taxus brevifolia
232,Florida yew,Taxus floridana,Taxus floridana
230,yew spp.,Taxus spp.,Taxus spp.
913,key thatch palm,Thrinax morrisii,Thrinax morrisii
914,Florida thatch palm,Thrinax radiata,Thrinax radiata
241,northern white-cedar,Thuja occidentalis,Thuja occidentalis
242,western redcedar,Thuja plicata,Thuja plicata
240,thuja spp.,Thuja spp.,Thuja spp.
951,American basswood,Tilia americana,Tilia americana
953,Carolina basswood,Tilia americana var. caroliniana,Tilia americana
952,white basswood,Tilia americana var. heterophylla,Tilia americana
950,basswood spp.,Tilia spp.,Tilia spp.
251,California torreya (nutmeg),Torreya californica,Torreya californica
250,torreya (nutmeg) spp.,Torreya spp.,Torreya spp.
252,Florida torreya (nutmeg),Torreya taxifolia,Torreya taxifolia
998,Unknown dead hardwood,Tree broadleaf,Tree broadleaf
299,Unknown dead conifer,Tree evergreen,Tree evergreen
999,Other or unknown live tree,Tree unknown,Tree unknown
994,Chinese tallowtree,Triadica sebifera,Triadica sebifera
261,eastern hemlock,Tsuga canadensis,Tsuga canadensis
262,Carolina hemlock,Tsuga caroliniana,Tsuga caroliniana
263,western hemlock,Tsuga heterophylla,Tsuga heterophylla
264,mountain hemlock,Tsuga mertensiana,Tsuga mertensiana
260,hemlock spp.,Tsuga spp.,Tsuga spp.
971,winged elm,Ulmus alata,Ulmus alata
972,American elm,Ulmus americana,Ulmus americana
973,cedar elm,Ulmus crassifolia,Ulmus crassifolia
974,Siberian elm,Ulmus pumila,Ulmus pumila
975,slippery elm,Ulmus rubra,Ulmus rubra
976,September elm,Ulmus serotina,Ulmus serotina
970,elm spp.,Ulmus spp.,Ulmus spp.
977,rock elm,Ulmus thomasii,Ulmus thomasii
981,California-laurel,Umbellularia californica,Umbellularia californica
995,tungoil tree,Vernicia fordii,Vernicia fordii
982,Joshua tree,Yucca brevifolia,Yucca brevifolia
